id,type,src,dst,app,latency,message,ctime,size,buffer
1,LINK,0,1,App0,2.0000002,M.User,2,15000,0
2,LINK,1,49,App1,2.0000002,M.User,2,15000,1
3,LINK,2,16,App2,2.0000002,M.User,2,15000,2
4,LINK,3,1,App3,2.0000002,M.User,2,15000,3
5,LINK,4,16,App4,2.0000002,M.User,2,15000,4
1,LINK,1,49,App0,2.0000002,M.User,4.000000200000001,15000,0
3,LINK,16,49,App2,2.0000002,M.User,4.000000200000001,15000,1
4,LINK,1,49,App3,2.0000002,M.User,4.000000200000001,15000,2
5,LINK,16,49,App4,2.0000002,M.User,4.000000200000001,15000,3
6,LINK,0,1,App0,2.0000002,M.User,7,15000,2
7,LINK,1,49,App1,2.0000002,M.User,7,15000,3
8,LINK,2,16,App2,2.0000002,M.User,7,15000,4
9,LINK,3,1,App3,2.0000002,M.User,7,15000,5
10,LINK,4,16,App4,2.0000002,M.User,7,15000,6
11,LINK,0,1,App0,2.0000002,M.User,8,15000,7
12,LINK,1,49,App1,2.0000002,M.User,8,15000,8
13,LINK,2,16,App2,2.0000002,M.User,8,15000,9
14,LINK,3,1,App3,2.0000002,M.User,8,15000,10
15,LINK,4,16,App4,2.0000002,M.User,8,15000,11
16,LINK,0,1,App0,2.0000002,M.User,9,15000,10
17,LINK,1,49,App1,2.0000002,M.User,9,15000,11
18,LINK,2,16,App2,2.0000002,M.User,9,15000,12
19,LINK,3,1,App3,2.0000002,M.User,9,15000,13
20,LINK,4,16,App4,2.0000002,M.User,9,15000,14
6,LINK,1,49,App0,2.0000002,M.User,9.0000002,15000,11
8,LINK,16,49,App2,2.0000002,M.User,9.0000002,15000,12
9,LINK,1,49,App3,2.0000002,M.User,9.0000002,15000,13
10,LINK,16,49,App4,2.0000002,M.User,9.0000002,15000,14
21,LINK,0,1,App0,2.0000002,M.User,10,15000,15
22,LINK,1,49,App1,2.0000002,M.User,10,15000,16
23,LINK,2,16,App2,2.0000002,M.User,10,15000,17
24,LINK,3,1,App3,2.0000002,M.User,10,15000,18
25,LINK,4,16,App4,2.0000002,M.User,10,15000,19
26,LINK,0,1,App0,2.0000002,M.User,11,15000,19
27,LINK,1,49,App1,2.0000002,M.User,11,15000,20
28,LINK,2,16,App2,2.0000002,M.User,11,15000,21
29,LINK,3,1,App3,2.0000002,M.User,11,15000,22
30,LINK,4,16,App4,2.0000002,M.User,11,15000,23
11,LINK,1,49,App0,2.0000002,M.User,11.000000400000001,15000,19
13,LINK,16,49,App2,2.0000002,M.User,11.000000400000001,15000,20
14,LINK,1,49,App3,2.0000002,M.User,11.000000400000001,15000,21
15,LINK,16,49,App4,2.0000002,M.User,11.000000400000001,15000,22
31,LINK,0,1,App0,2.0000002,M.User,12,15000,23
32,LINK,1,49,App1,2.0000002,M.User,12,15000,24
33,LINK,2,16,App2,2.0000002,M.User,12,15000,25
34,LINK,3,1,App3,2.0000002,M.User,12,15000,26
