id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
1,COMP_M,App0,COMP1,M.User,4,0,0,5,None,0.2,4.000000200000001,4.200000200000001,2.0,4.000000200000001
1,COMP_M,App0,COMP2,M.Step2,35,1,5,5,COMP1,0.2,4.200000200000001,4.400000200000001,4.200000200000001,4.200000200000001
1,COMP_M,App0,COMP3,M.Branch,35,2,5,5,COMP1,0.2,4.200000200000001,4.400000200000001,4.200000200000001,4.200000200000001
1,COMP_M,App0,COMP4,M.Step3,37,3,5,5,COMP3,0.2,4.400000200000001,4.600000200000001,4.400000200000001,4.400000200000001
2,COMP_M,App1,COMP1,M.User,11,7,1,5,None,0.2,6.000000400000001,6.200000400000001,2.0,6.000000400000001
2,COMP_M,App1,COMP2,M.Step2,39,8,5,5,COMP1,0.2,6.200000400000001,6.4000004000000015,6.200000400000001,6.200000400000001
2,COMP_M,App1,COMP3,M.Branch,39,9,5,5,COMP1,0.2,6.200000400000001,6.4000004000000015,6.200000400000001,6.200000400000001
1,SINK_M,App0,Sink1,M.Result1,36,5,5,39,COMP2,0.0,6.4000004000000015,6.4000004000000015,4.400000200000001,6.4000004000000015
2,COMP_M,App1,COMP4,M.Step3,41,10,5,5,COMP3,0.2,6.4000004000000015,6.600000400000002,6.4000004000000015,6.4000004000000015
3,COMP_M,App2,COMP1,M.User,18,14,2,5,None,0.2,8.000000600000002,8.200000600000001,2.0,8.000000600000002
3,COMP_M,App2,COMP2,M.Step2,43,15,5,5,COMP1,0.2,8.200000600000001,8.4000006,8.200000600000001,8.200000600000001
3,COMP_M,App2,COMP3,M.Branch,43,16,5,5,COMP1,0.2,8.200000600000001,8.4000006,8.200000600000001,8.200000600000001
3,COMP_M,App2,COMP4,M.Step3,45,17,5,5,COMP3,0.2,8.4000006,8.6000006,8.4000006,8.4000006
2,SINK_M,App1,Sink1,M.Result1,40,12,5,41,COMP2,0.0,8.400000600000002,8.400000600000002,6.4000004000000015,8.400000600000002
