id,type,src,dst,app,latency,message,ctime,size,buffer
1,LINK,0,5,App0,2.0000002,M.User,2,15000,0
2,LINK,1,0,App1,2.0000002,M.User,2,15000,1
3,LINK,2,0,App2,2.0000002,M.User,2,15000,2
4,LINK,3,0,App3,2.0000002,M.User,2,15000,3
5,LINK,4,0,App4,2.0000002,M.User,2,15000,4
2,LINK,0,5,App1,2.0000002,M.User,4.000000200000001,15000,0
3,LINK,0,5,App2,2.0000002,M.User,4.000000200000001,15000,1
4,LINK,0,5,App3,2.0000002,M.User,4.000000200000001,15000,2
5,LINK,0,5,App4,2.0000002,M.User,4.000000200000001,15000,3
1,LINK,5,39,App0,2.0000002,M.Result1,4.400000200000001,15000,4
1,LINK,5,0,App0,2.0000002,M.Result2,4.600000200000001,15000,5
2,LINK,5,41,App1,2.0000002,M.Result1,6.4000004000000015,15000,4
1,LINK,0,40,App0,2.0000002,M.Result2,6.600000400000001,15000,4
2,LINK,5,42,App1,2.0000002,M.Result2,6.600000400000002,15000,5
6,LINK,0,5,App0,2.0000002,M.User,7,15000,6
7,LINK,1,0,App1,2.0000002,M.User,7,15000,7
8,LINK,2,0,App2,2.0000002,M.User,7,15000,8
9,LINK,3,0,App3,2.0000002,M.User,7,15000,9
10,LINK,4,0,App4,2.0000002,M.User,7,15000,10
11,LINK,0,5,App0,2.0000002,M.User,8,15000,11
12,LINK,1,0,App1,2.0000002,M.User,8,15000,12
13,LINK,2,0,App2,2.0000002,M.User,8,15000,13
14,LINK,3,0,App3,2.0000002,M.User,8,15000,14
15,LINK,4,0,App4,2.0000002,M.User,8,15000,15
3,LINK,5,43,App2,2.0000002,M.Result1,8.4000006,15000,15
3,LINK,5,44,App2,2.0000002,M.Result2,8.6000006,15000,15
16,LINK,0,5,App0,2.0000002,M.User,9,15000,14
17,LINK,1,0,App1,2.0000002,M.User,9,15000,15
18,LINK,2,0,App2,2.0000002,M.User,9,15000,16
19,LINK,3,0,App3,2.0000002,M.User,9,15000,17
20,LINK,4,0,App4,2.0000002,M.User,9,15000,18
7,LINK,0,5,App1,2.0000002,M.User,9.0000002,15000,15
8,LINK,0,5,App2,2.0000002,M.User,9.0000002,15000,16
9,LINK,0,5,App3,2.0000002,M.User,9.0000002,15000,17
10,LINK,0,5,App4,2.0000002,M.User,9.0000002,15000,18
21,LINK,0,5,App0,2.0000002,M.User,10,15000,19
22,LINK,1,0,App1,2.0000002,M.User,10,15000,20
23,LINK,2,0,App2,2.0000002,M.User,10,15000,21
24,LINK,3,0,App3,2.0000002,M.User,10,15000,22
25,LINK,4,0,App4,2.0000002,M.User,10,15000,23
4,LINK,5,45,App3,2.0000002,M.Result1,10.4000008,15000,22
4,LINK,5,46,App3,2.0000002,M.Result2,10.6000008,15000,22
26,LINK,0,5,App0,2.0000002,M.User,11,15000,23
27,LINK,1,0,App1,2.0000002,M.User,11,15000,24
28,LINK,2,0,App2,2.0000002,M.User,11,15000,25
29,LINK,3,0,App3,2.0000002,M.User,11,15000,26
30,LINK,4,0,App4,2.0000002,M.User,11,15000,27
12,LINK,0,5,App1,2.0000002,M.User,11.000000400000001,15000,24
13,LINK,0,5,App2,2.0000002,M.User,11.000000400000001,15000,25
