id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
5,COMP_M,App4,COMP1,M.User,32,28,4,48,None,0.0002,18.0000016,18.0002016,2.0,18.0000016
5,COMP_M,App4,COMP2,M.Step2,52,29,48,48,COMP1,0.0002,18.0002016,18.0004016,18.0002016,18.0002016
5,COMP_M,App4,COMP3,M.Branch,52,30,48,48,COMP1,0.0002,18.0002016,18.0004016,18.0002016,18.0002016
5,COMP_M,App4,COMP4,M.Step3,54,31,48,48,COMP3,0.0002,18.0004016,18.0006016,18.0004016,18.0004016
5,SINK_M,App4,Sink2,M.Result2,55,34,48,48,COMP4,0.0,18.0006016,18.0006016,18.0006016,18.0006016
4,COMP_M,App3,COMP1,M.User,25,21,3,48,None,0.0002,20.0000018,20.0002018,2.0,20.0000018
4,COMP_M,App3,COMP2,M.Step2,48,22,48,48,COMP1,0.0002,20.0002018,20.0004018,20.0002018,20.0002018
4,COMP_M,App3,COMP3,M.Branch,48,23,48,48,COMP1,0.0002,20.0002018,20.0004018,20.0002018,20.0002018
5,SINK_M,App4,Sink1,M.Result1,53,33,48,47,COMP2,0.0,20.0004018,20.0004018,18.0004016,20.0004018
4,COMP_M,App3,COMP4,M.Step3,50,24,48,48,COMP3,0.0002,20.0004018,20.0006018,20.0004018,20.0004018
3,COMP_M,App2,COMP1,M.User,18,14,2,48,None,0.0002,22.000002,22.000201999999998,2.0,22.000002
3,COMP_M,App2,COMP2,M.Step2,44,15,48,48,COMP1,0.0002,22.000201999999998,22.000401999999998,22.000201999999998,22.000201999999998
3,COMP_M,App2,COMP3,M.Branch,44,16,48,48,COMP1,0.0002,22.000201999999998,22.000401999999998,22.000201999999998,22.000201999999998
3,COMP_M,App2,COMP4,M.Step3,46,17,48,48,COMP3,0.0002,22.000401999999998,22.000601999999997,22.000401999999998,22.000401999999998
10,COMP_M,App4,COMP1,M.User,32,28,4,48,None,0.0002,24.000002199999997,24.000202199999997,7.0,24.000002199999997
10,COMP_M,App4,COMP2,M.Step2,52,29,48,48,COMP1,0.0002,24.000202199999997,24.000402199999996,24.000202199999997,24.000202199999997
