id,type,src,dst,app,latency,message,ctime,size,buffer
1,LINK,0,7,App0,2.0000002,M.User,2,15000,0
2,LINK,1,8,App1,2.0000002,M.User,2,15000,1
3,LINK,2,3,App2,2.0000002,M.User,2,15000,2
4,LINK,3,10,App3,2.0000002,M.User,2,15000,3
5,LINK,4,11,App4,2.0000002,M.User,2,15000,4
1,LINK,7,14,App0,2.0000002,M.User,4.000000200000001,15000,0
2,LINK,8,15,App1,2.0000002,M.User,4.000000200000001,15000,1
3,LINK,3,4,App2,2.0000002,M.User,4.000000200000001,15000,2
4,LINK,10,17,App3,2.0000002,M.User,4.000000200000001,15000,3
5,LINK,11,12,App4,2.0000002,M.User,4.000000200000001,15000,4
1,LINK,14,21,App0,2.0000002,M.User,6.000000400000001,15000,0
2,LINK,15,16,App1,2.0000002,M.User,6.000000400000001,15000,1
3,LINK,4,5,App2,2.0000002,M.User,6.000000400000001,15000,2
4,LINK,17,24,App3,2.0000002,M.User,6.000000400000001,15000,3
5,LINK,12,13,App4,2.0000002,M.User,6.000000400000001,15000,4
6,LINK,0,7,App0,2.0000002,M.User,7,15000,5
7,LINK,1,8,App1,2.0000002,M.User,7,15000,6
8,LINK,2,3,App2,2.0000002,M.User,7,15000,7
9,LINK,3,10,App3,2.0000002,M.User,7,15000,8
10,LINK,4,11,App4,2.0000002,M.User,7,15000,9
11,LINK,0,7,App0,2.0000002,M.User,8,15000,10
12,LINK,1,8,App1,2.0000002,M.User,8,15000,11
13,LINK,2,3,App2,2.0000002,M.User,8,15000,12
14,LINK,3,10,App3,2.0000002,M.User,8,15000,13
15,LINK,4,11,App4,2.0000002,M.User,8,15000,14
1,LINK,21,22,App0,2.0000002,M.User,8.000000600000002,15000,10
2,LINK,16,17,App1,2.0000002,M.User,8.000000600000002,15000,11
3,LINK,5,6,App2,2.0000002,M.User,8.000000600000002,15000,12
4,LINK,24,25,App3,2.0000002,M.User,8.000000600000002,15000,13
5,LINK,13,20,App4,2.0000002,M.User,8.000000600000002,15000,14
16,LINK,0,7,App0,2.0000002,M.User,9,15000,15
17,LINK,1,8,App1,2.0000002,M.User,9,15000,16
18,LINK,2,3,App2,2.0000002,M.User,9,15000,17
19,LINK,3,10,App3,2.0000002,M.User,9,15000,18
20,LINK,4,11,App4,2.0000002,M.User,9,15000,19
6,LINK,7,14,App0,2.0000002,M.User,9.0000002,15000,15
7,LINK,8,15,App1,2.0000002,M.User,9.0000002,15000,16
8,LINK,3,4,App2,2.0000002,M.User,9.0000002,15000,17
9,LINK,10,17,App3,2.0000002,M.User,9.0000002,15000,18
10,LINK,11,12,App4,2.0000002,M.User,9.0000002,15000,19
21,LINK,0,7,App0,2.0000002,M.User,10,15000,20
22,LINK,1,8,App1,2.0000002,M.User,10,15000,21
23,LINK,2,3,App2,2.0000002,M.User,10,15000,22
24,LINK,3,10,App3,2.0000002,M.User,10,15000,23
25,LINK,4,11,App4,2.0000002,M.User,10,15000,24
1,LINK,22,23,App0,2.0000002,M.User,10.000000800000002,15000,20
2,LINK,17,18,App1,2.0000002,M.User,10.000000800000002,15000,21
3,LINK,6,13,App2,2.0000002,M.User,10.000000800000002,15000,22
4,LINK,25,26,App3,2.0000002,M.User,10.000000800000002,15000,23
5,LINK,20,27,App4,2.0000002,M.User,10.000000800000002,15000,24
26,LINK,0,7,App0,2.0000002,M.User,11,15000,25
27,LINK,1,8,App1,2.0000002,M.User,11,15000,26
28,LINK,2,3,App2,2.0000002,M.User,11,15000,27
29,LINK,3,10,App3,2.0000002,M.User,11,15000,28
30,LINK,4,11,App4,2.0000002,M.User,11,15000,29
11,LINK,7,14,App0,2.0000002,M.User,11.000000400000001,15000,20
12,LINK,8,15,App1,2.0000002,M.User,11.000000400000001,15000,21
13,LINK,3,4,App2,2.0000002,M.User,11.000000400000001,15000,22
14,LINK,10,17,App3,2.0000002,M.User,11.000000400000001,15000,23
15,LINK,11,12,App4,2.0000002,M.User,11.000000400000001,15000,24
6,LINK,14,21,App0,2.0000002,M.User,11.000000400000001,15000,25
7,LINK,15,16,App1,2.0000002,M.User,11.000000400000001,15000,26
8,LINK,4,5,App2,2.0000002,M.User,11.000000400000001,15000,27
9,LINK,17,24,App3,2.0000002,M.User,11.000000400000001,15000,28
10,LINK,12,13,App4,2.0000002,M.User,11.000000400000001,15000,29
31,LINK,0,7,App0,2.0000002,M.User,12,15000,30
32,LINK,1,8,App1,2.0000002,M.User,12,15000,31
33,LINK,2,3,App2,2.0000002,M.User,12,15000,32
34,LINK,3,10,App3,2.0000002,M.User,12,15000,33
35,LINK,4,11,App4,2.0000002,M.User,12,15000,34
1,LINK,23,24,App0,2.0000002,M.User,12.000001000000003,15000,30
2,LINK,18,19,App1,2.0000002,M.User,12.000001000000003,15000,31
3,LINK,13,20,App2,2.0000002,M.User,12.000001000000003,15000,32
4,LINK,26,27,App3,2.0000002,M.User,12.000001000000003,15000,33
5,LINK,27,34,App4,2.0000002,M.User,12.000001000000003,15000,34
36,LINK,0,7,App0,2.0000002,M.User,13,15000,35
37,LINK,1,8,App1,2.0000002,M.User,13,15000,36
38,LINK,2,3,App2,2.0000002,M.User,13,15000,37
39,LINK,3,10,App3,2.0000002,M.User,13,15000,38
40,LINK,4,11,App4,2.0000002,M.User,13,15000,39
16,LINK,7,14,App0,2.0000002,M.User,13.000000600000002,15000,25
17,LINK,8,15,App1,2.0000002,M.User,13.000000600000002,15000,26
18,LINK,3,4,App2,2.0000002,M.User,13.000000600000002,15000,27
19,LINK,10,17,App3,2.0000002,M.User,13.000000600000002,15000,28
20,LINK,11,12,App4,2.0000002,M.User,13.000000600000002,15000,29
11,LINK,14,21,App0,2.0000002,M.User,13.000000600000002,15000,30
12,LINK,15,16,App1,2.0000002,M.User,13.000000600000002,15000,31
13,LINK,4,5,App2,2.0000002,M.User,13.000000600000002,15000,32
14,LINK,17,24,App3,2.0000002,M.User,13.000000600000002,15000,33
15,LINK,12,13,App4,2.0000002,M.User,13.000000600000002,15000,34
6,LINK,21,22,App0,2.0000002,M.User,13.000000600000002,15000,35
7,LINK,16,17,App1,2.0000002,M.User,13.000000600000002,15000,36
8,LINK,5,6,App2,2.0000002,M.User,13.000000600000002,15000,37
9,LINK,24,25,App3,2.0000002,M.User,13.000000600000002,15000,38
10,LINK,13,20,App4,2.0000002,M.User,13.000000600000002,15000,39
1,LINK,24,25,App0,2.0000002,M.User,14.000001200000003,15000,35
2,LINK,19,20,App1,2.0000002,M.User,14.000001200000003,15000,36
3,LINK,20,27,App2,2.0000002,M.User,14.000001200000003,15000,37
4,LINK,27,34,App3,2.0000002,M.User,14.000001200000003,15000,38
5,LINK,34,41,App4,2.0000002,M.User,14.000001200000003,15000,39
41,LINK,0,7,App0,2.0000002,M.User,15,15000,40
42,LINK,1,8,App1,2.0000002,M.User,15,15000,41
43,LINK,2,3,App2,2.0000002,M.User,15,15000,42
44,LINK,3,10,App3,2.0000002,M.User,15,15000,43
45,LINK,4,11,App4,2.0000002,M.User,15,15000,44
21,LINK,7,14,App0,2.0000002,M.User,15.000000800000002,15000,26
22,LINK,8,15,App1,2.0000002,M.User,15.000000800000002,15000,27
23,LINK,3,4,App2,2.0000002,M.User,15.000000800000002,15000,28
24,LINK,10,17,App3,2.0000002,M.User,15.000000800000002,15000,29
25,LINK,11,12,App4,2.0000002,M.User,15.000000800000002,15000,30
16,LINK,14,21,App0,2.0000002,M.User,15.000000800000002,15000,31
17,LINK,15,16,App1,2.0000002,M.User,15.000000800000002,15000,32
18,LINK,4,5,App2,2.0000002,M.User,15.000000800000002,15000,33
19,LINK,17,24,App3,2.0000002,M.User,15.000000800000002,15000,34
20,LINK,12,13,App4,2.0000002,M.User,15.000000800000002,15000,35
11,LINK,21,22,App0,2.0000002,M.User,15.000000800000002,15000,36
12,LINK,16,17,App1,2.0000002,M.User,15.000000800000002,15000,37
13,LINK,5,6,App2,2.0000002,M.User,15.000000800000002,15000,38
14,LINK,24,25,App3,2.0000002,M.User,15.000000800000002,15000,39
15,LINK,13,20,App4,2.0000002,M.User,15.000000800000002,15000,40
6,LINK,22,23,App0,2.0000002,M.User,15.000000800000002,15000,41
7,LINK,17,18,App1,2.0000002,M.User,15.000000800000002,15000,42
8,LINK,6,13,App2,2.0000002,M.User,15.000000800000002,15000,43
9,LINK,25,26,App3,2.0000002,M.User,15.000000800000002,15000,44
10,LINK,20,27,App4,2.0000002,M.User,16.000001400000002,15000,40
2,LINK,20,27,App1,2.0000002,M.User,16.000001400000002,15000,41
3,LINK,27,34,App2,2.0000002,M.User,16.000001400000002,15000,42
4,LINK,34,41,App3,2.0000002,M.User,16.000001400000002,15000,43
5,LINK,41,48,App4,2.0000002,M.User,16.000001400000002,15000,44
1,LINK,25,26,App0,2.0000002,M.User,17.000001,15000,27
21,LINK,14,21,App0,2.0000002,M.User,17.000001,15000,28
22,LINK,15,16,App1,2.0000002,M.User,17.000001,15000,29
23,LINK,4,5,App2,2.0000002,M.User,17.000001,15000,30
24,LINK,17,24,App3,2.0000002,M.User,17.000001,15000,31
25,LINK,12,13,App4,2.0000002,M.User,17.000001,15000,32
16,LINK,21,22,App0,2.0000002,M.User,17.000001,15000,33
17,LINK,16,17,App1,2.0000002,M.User,17.000001,15000,34
18,LINK,5,6,App2,2.0000002,M.User,17.000001,15000,35
19,LINK,24,25,App3,2.0000002,M.User,17.000001,15000,36
20,LINK,13,20,App4,2.0000002,M.User,17.000001,15000,37
11,LINK,22,23,App0,2.0000002,M.User,17.000001,15000,38
12,LINK,17,18,App1,2.0000002,M.User,17.000001,15000,39
13,LINK,6,13,App2,2.0000002,M.User,17.000001,15000,40
6,LINK,23,24,App0,2.0000002,M.User,17.000001,15000,41
7,LINK,18,19,App1,2.0000002,M.User,17.000001,15000,42
8,LINK,13,20,App2,2.0000002,M.User,17.000001,15000,43
9,LINK,26,27,App3,2.0000002,M.User,17.000001,15000,44
26,LINK,7,14,App0,2.0000002,M.User,17.000001000000005,15000,40
27,LINK,8,15,App1,2.0000002,M.User,17.000001000000005,15000,41
28,LINK,3,4,App2,2.0000002,M.User,17.000001000000005,15000,42
29,LINK,10,17,App3,2.0000002,M.User,17.000001000000005,15000,43
30,LINK,11,12,App4,2.0000002,M.User,17.000001000000005,15000,44
46,LINK,0,7,App0,2.0000002,M.User,18,15000,45
47,LINK,1,8,App1,2.0000002,M.User,18,15000,46
48,LINK,2,3,App2,2.0000002,M.User,18,15000,47
49,LINK,3,10,App3,2.0000002,M.User,18,15000,48
50,LINK,4,11,App4,2.0000002,M.User,18,15000,49
15,LINK,20,27,App4,2.0000002,M.User,18.0000016,15000,45
10,LINK,27,34,App4,2.0000002,M.User,18.0000016,15000,46
3,LINK,34,41,App2,2.0000002,M.User,18.0000016,15000,47
4,LINK,41,48,App3,2.0000002,M.User,18.0000016,15000,48
5,LINK,48,47,App4,2.0000002,M.Result1,18.0004016,15000,49
31,LINK,7,14,App0,2.0000002,M.User,19.0000012,15000,29
32,LINK,8,15,App1,2.0000002,M.User,19.0000012,15000,30
33,LINK,3,4,App2,2.0000002,M.User,19.0000012,15000,31
34,LINK,10,17,App3,2.0000002,M.User,19.0000012,15000,32
35,LINK,11,12,App4,2.0000002,M.User,19.0000012,15000,33
14,LINK,25,26,App3,2.0000002,M.User,19.0000012,15000,34
1,LINK,26,27,App0,2.0000002,M.User,19.0000012,15000,35
21,LINK,21,22,App0,2.0000002,M.User,19.0000012,15000,36
22,LINK,16,17,App1,2.0000002,M.User,19.0000012,15000,37
23,LINK,5,6,App2,2.0000002,M.User,19.0000012,15000,38
24,LINK,24,25,App3,2.0000002,M.User,19.0000012,15000,39
25,LINK,13,20,App4,2.0000002,M.User,19.0000012,15000,40
16,LINK,22,23,App0,2.0000002,M.User,19.0000012,15000,41
17,LINK,17,18,App1,2.0000002,M.User,19.0000012,15000,42
18,LINK,6,13,App2,2.0000002,M.User,19.0000012,15000,43
11,LINK,23,24,App0,2.0000002,M.User,19.0000012,15000,44
12,LINK,18,19,App1,2.0000002,M.User,19.0000012,15000,45
13,LINK,13,20,App2,2.0000002,M.User,19.0000012,15000,46
6,LINK,24,25,App0,2.0000002,M.User,19.0000012,15000,47
7,LINK,19,20,App1,2.0000002,M.User,19.0000012,15000,48
9,LINK,27,34,App3,2.0000002,M.User,19.0000012,15000,49
26,LINK,14,21,App0,2.0000002,M.User,19.000001200000003,15000,45
27,LINK,15,16,App1,2.0000002,M.User,19.000001200000003,15000,46
28,LINK,4,5,App2,2.0000002,M.User,19.000001200000003,15000,47
29,LINK,17,24,App3,2.0000002,M.User,19.000001200000003,15000,48
30,LINK,12,13,App4,2.0000002,M.User,19.000001200000003,15000,49
51,LINK,0,7,App0,2.0000002,M.User,20,15000,50
52,LINK,1,8,App1,2.0000002,M.User,20,15000,51
53,LINK,2,3,App2,2.0000002,M.User,20,15000,52
54,LINK,3,10,App3,2.0000002,M.User,20,15000,53
55,LINK,4,11,App4,2.0000002,M.User,20,15000,54
2,LINK,27,34,App1,2.0000002,M.User,20.0000018,15000,50
20,LINK,20,27,App4,2.0000002,M.User,20.0000018,15000,51
10,LINK,34,41,App4,2.0000002,M.User,20.0000018,15000,52
3,LINK,41,48,App2,2.0000002,M.User,20.0000018,15000,53
4,LINK,48,47,App3,2.0000002,M.Result1,20.0004018,15000,53
4,LINK,48,47,App3,2.0000002,M.Result2,20.0006018,15000,54
14,LINK,26,27,App3,2.0000002,M.User,21.0000014,15000,44
1,LINK,27,34,App0,2.0000002,M.User,21.0000014,15000,45
21,LINK,22,23,App0,2.0000002,M.User,21.0000014,15000,46
22,LINK,17,18,App1,2.0000002,M.User,21.0000014,15000,47
23,LINK,6,13,App2,2.0000002,M.User,21.0000014,15000,48
16,LINK,23,24,App0,2.0000002,M.User,21.0000014,15000,49
17,LINK,18,19,App1,2.0000002,M.User,21.0000014,15000,50
18,LINK,13,20,App2,2.0000002,M.User,21.0000014,15000,51
11,LINK,24,25,App0,2.0000002,M.User,21.0000014,15000,52
12,LINK,19,20,App1,2.0000002,M.User,21.0000014,15000,53
7,LINK,20,27,App1,2.0000002,M.User,21.0000014,15000,54
36,LINK,7,14,App0,2.0000002,M.User,21.000001400000002,15000,39
37,LINK,8,15,App1,2.0000002,M.User,21.000001400000002,15000,40
38,LINK,3,4,App2,2.0000002,M.User,21.000001400000002,15000,41
39,LINK,10,17,App3,2.0000002,M.User,21.000001400000002,15000,42
40,LINK,11,12,App4,2.0000002,M.User,21.000001400000002,15000,43
19,LINK,25,26,App3,2.0000002,M.User,21.000001400000002,15000,44
31,LINK,14,21,App0,2.0000002,M.User,21.000001400000002,15000,45
32,LINK,15,16,App1,2.0000002,M.User,21.000001400000002,15000,46
33,LINK,4,5,App2,2.0000002,M.User,21.000001400000002,15000,47
34,LINK,17,24,App3,2.0000002,M.User,21.000001400000002,15000,48
35,LINK,12,13,App4,2.0000002,M.User,21.000001400000002,15000,49
26,LINK,21,22,App0,2.0000002,M.User,21.000001400000002,15000,50
27,LINK,16,17,App1,2.0000002,M.User,21.000001400000002,15000,51
28,LINK,5,6,App2,2.0000002,M.User,21.000001400000002,15000,52
29,LINK,24,25,App3,2.0000002,M.User,21.000001400000002,15000,53
30,LINK,13,20,App4,2.0000002,M.User,21.000001400000002,15000,54
9,LINK,34,41,App3,2.0000002,M.User,22.000002,15000,52
10,LINK,41,48,App4,2.0000002,M.User,22.000002,15000,53
8,LINK,20,27,App2,2.0000002,M.User,22.000002000000002,15000,52
15,LINK,27,34,App4,2.0000002,M.User,22.000002000000002,15000,53
4,LINK,47,46,App3,2.0000002,M.Result1,22.000401999999998,15000,53
3,LINK,48,47,App2,2.0000002,M.Result1,22.000401999999998,15000,54
3,LINK,48,47,App2,2.0000002,M.Result2,22.000601999999997,15000,55
41,LINK,7,14,App0,2.0000002,M.User,23.000001599999997,15000,43
42,LINK,8,15,App1,2.0000002,M.User,23.000001599999997,15000,44
43,LINK,3,4,App2,2.0000002,M.User,23.000001599999997,15000,45
44,LINK,10,17,App3,2.0000002,M.User,23.000001599999997,15000,46
45,LINK,11,12,App4,2.0000002,M.User,23.000001599999997,15000,47
24,LINK,25,26,App3,2.0000002,M.User,23.000001599999997,15000,48
14,LINK,27,34,App3,2.0000002,M.User,23.000001599999997,15000,49
21,LINK,23,24,App0,2.0000002,M.User,23.000001599999997,15000,50
22,LINK,18,19,App1,2.0000002,M.User,23.000001599999997,15000,51
23,LINK,13,20,App2,2.0000002,M.User,23.000001599999997,15000,52
16,LINK,24,25,App0,2.0000002,M.User,23.000001599999997,15000,53
17,LINK,19,20,App1,2.0000002,M.User,23.000001599999997,15000,54
12,LINK,20,27,App1,2.0000002,M.User,23.000001599999997,15000,55
36,LINK,14,21,App0,2.0000002,M.User,23.0000016,15000,42
37,LINK,15,16,App1,2.0000002,M.User,23.0000016,15000,43
38,LINK,4,5,App2,2.0000002,M.User,23.0000016,15000,44
39,LINK,17,24,App3,2.0000002,M.User,23.0000016,15000,45
40,LINK,12,13,App4,2.0000002,M.User,23.0000016,15000,46
19,LINK,26,27,App3,2.0000002,M.User,23.0000016,15000,47
31,LINK,21,22,App0,2.0000002,M.User,23.0000016,15000,48
32,LINK,16,17,App1,2.0000002,M.User,23.0000016,15000,49
33,LINK,5,6,App2,2.0000002,M.User,23.0000016,15000,50
34,LINK,24,25,App3,2.0000002,M.User,23.0000016,15000,51
35,LINK,13,20,App4,2.0000002,M.User,23.0000016,15000,52
26,LINK,22,23,App0,2.0000002,M.User,23.0000016,15000,53
27,LINK,17,18,App1,2.0000002,M.User,23.0000016,15000,54
