id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
4,COMP_M,App4,COMP1,M.User,32,28,4,48,None,0.0002,19.0000016,19.0002016,3.0,19.0000016
4,COMP_M,App4,COMP2,M.Step2,52,29,48,48,COMP1,0.0002,19.0002016,19.0004016,19.0002016,19.0002016
4,COMP_M,App4,COMP3,M.Branch,52,30,48,48,COMP1,0.0002,19.0002016,19.0004016,19.0002016,19.0002016
4,COMP_M,App4,COMP4,M.Step3,54,31,48,48,COMP3,0.0002,19.0004016,19.0006016,19.0004016,19.0004016
4,SINK_M,App4,Sink2,M.Result2,55,34,48,48,COMP4,0.0,19.0006016,19.0006016,19.0006016,19.0006016
2,COMP_M,App3,COMP1,M.User,25,21,3,48,None,0.0002,21.0000018,21.0002018,2.0,21.0000018
2,COMP_M,App3,COMP2,M.Step2,48,22,48,48,COMP1,0.0002,21.0002018,21.0004018,21.0002018,21.0002018
2,COMP_M,App3,COMP3,M.Branch,48,23,48,48,COMP1,0.0002,21.0002018,21.0004018,21.0002018,21.0002018
4,SINK_M,App4,Sink1,M.Result1,53,33,48,47,COMP2,0.0,21.0004018,21.0004018,19.0004016,21.0004018
2,COMP_M,App3,COMP4,M.Step3,50,24,48,48,COMP3,0.0002,21.0004018,21.0006018,21.0004018,21.0004018
1,COMP_M,App2,COMP1,M.User,18,14,2,48,None,0.0002,23.000002,23.000201999999998,2.0,23.000002
1,COMP_M,App2,COMP2,M.Step2,44,15,48,48,COMP1,0.0002,23.000201999999998,23.000401999999998,23.000201999999998,23.000201999999998
1,COMP_M,App2,COMP3,M.Branch,44,16,48,48,COMP1,0.0002,23.000201999999998,23.000401999999998,23.000201999999998,23.000201999999998
1,COMP_M,App2,COMP4,M.Step3,46,17,48,48,COMP3,0.0002,23.000401999999998,23.000601999999997,23.000401999999998,23.000401999999998
7,COMP_M,App3,COMP1,M.User,25,21,3,48,None,0.0002,25.000002199999997,25.000202199999997,5.0,25.000002199999997
7,COMP_M,App3,COMP2,M.Step2,48,22,48,48,COMP1,0.0002,25.000202199999997,25.000402199999996,25.000202199999997,25.000202199999997
7,COMP_M,App3,COMP3,M.Branch,48,23,48,48,COMP1,0.0002,25.000202199999997,25.000402199999996,25.000202199999997,25.000202199999997
7,COMP_M,App3,COMP4,M.Step3,50,24,48,48,COMP3,0.0002,25.000402199999996,25.000602199999996,25.000402199999996,25.000402199999996
12,COMP_M,App4,COMP1,M.User,32,28,4,48,None,0.0002,27.0000024,27.0002024,8.0,27.0000024
12,COMP_M,App4,COMP2,M.Step2,52,29,48,48,COMP1,0.0002,27.0002024,27.0004024,27.0002024,27.0002024
12,COMP_M,App4,COMP3,M.Branch,52,30,48,48,COMP1,0.0002,27.0002024,27.0004024,27.0002024,27.0002024
2,SINK_M,App3,Sink2,M.Result2,51,27,48,46,COMP4,0.0,27.000402399999995,27.000402399999995,21.0006018,27.000402399999995
2,SINK_M,App3,Sink1,M.Result1,49,26,48,45,COMP2,0.0,27.000402399999995,27.000402399999995,21.0004018,27.000402399999995
12,COMP_M,App4,COMP4,M.Step3,54,31,48,48,COMP3,0.0002,27.0004024,27.0006024,27.0004024,27.0004024
12,SINK_M,App4,Sink2,M.Result2,55,34,48,48,COMP4,0.0,27.0006024,27.0006024,27.0006024,27.0006024
13,COMP_M,App3,COMP1,M.User,25,21,3,48,None,0.0002,29.0000026,29.000202599999998,8.0,29.0000026
13,COMP_M,App3,COMP2,M.Step2,48,22,48,48,COMP1,0.0002,29.000202599999998,29.000402599999997,29.000202599999998,29.000202599999998
13,COMP_M,App3,COMP3,M.Branch,48,23,48,48,COMP1,0.0002,29.000202599999998,29.000402599999997,29.000202599999998,29.000202599999998
13,COMP_M,App3,COMP4,M.Step3,50,24,48,48,COMP3,0.0002,29.000402599999997,29.000602599999997,29.000402599999997,29.000402599999997
3,COMP_M,App1,COMP1,M.User,11,7,1,48,None,0.0002,31.000002799999997,31.000202799999997,3.0,31.000002799999997
3,COMP_M,App1,COMP2,M.Step2,40,8,48,48,COMP1,0.0002,31.000202799999997,31.000402799999996,31.000202799999997,31.000202799999997
3,COMP_M,App1,COMP3,M.Branch,40,9,48,48,COMP1,0.0002,31.000202799999997,31.000402799999996,31.000202799999997,31.000202799999997
3,COMP_M,App1,COMP4,M.Step3,42,10,48,48,COMP3,0.0002,31.000402799999996,31.000602799999996,31.000402799999996,31.000402799999996
5,COMP_M,App0,COMP1,M.User,4,0,0,48,None,0.0002,33.000003,33.000203,4.0,33.000003
5,COMP_M,App0,COMP2,M.Step2,36,1,48,48,COMP1,0.0002,33.000203,33.000403,33.000203,33.000203
5,COMP_M,App0,COMP3,M.Branch,36,2,48,48,COMP1,0.0002,33.000203,33.000403,33.000203,33.000203
3,SINK_M,App1,Sink1,M.Result1,41,12,48,41,COMP2,0.0,33.000403,33.000403,31.000402799999996,33.000403
