id,type,src,dst,app,latency,message,ctime,size,buffer
1,LINK,6,49,App0,2.0000002,M.User,2,15000,0
2,LINK,1,0,App1,2.0000002,M.User,2,15000,1
3,LINK,2,49,App2,2.0000002,M.User,2,15000,2
4,LINK,3,49,App3,2.0000002,M.User,2,15000,3
5,LINK,4,0,App4,2.0000002,M.User,2,15000,4
2,LINK,0,49,App1,2.0000002,M.User,4.000000200000001,15000,0
5,LINK,0,49,App4,2.0000002,M.User,4.000000200000001,15000,1
1,LINK,49,39,App0,2.0000002,M.Result1,4.000004200000001,15000,2
3,LINK,49,43,App2,2.0000002,M.Result1,4.000004200000001,15000,3
4,LINK,49,0,App3,2.0000002,M.Result1,4.000004200000001,15000,4
1,LINK,49,0,App0,2.0000002,M.Result2,4.000006200000001,15000,5
3,LINK,49,0,App2,2.0000002,M.Result2,4.000006200000001,15000,6
4,LINK,49,0,App3,2.0000002,M.Result2,4.000006200000001,15000,7
4,LINK,0,45,App3,2.0000002,M.Result1,6.000004400000002,15000,4
2,LINK,49,0,App1,2.0000002,M.Result1,6.000004400000002,15000,5
2,LINK,49,0,App1,2.0000002,M.Result2,6.000006400000002,15000,6
6,LINK,6,49,App0,2.0000002,M.User,7,15000,7
7,LINK,1,0,App1,2.0000002,M.User,7,15000,8
8,LINK,2,49,App2,2.0000002,M.User,7,15000,9
9,LINK,3,49,App3,2.0000002,M.User,7,15000,10
10,LINK,4,0,App4,2.0000002,M.User,7,15000,11
11,LINK,6,49,App0,2.0000002,M.User,8,15000,12
12,LINK,1,0,App1,2.0000002,M.User,8,15000,13
13,LINK,2,49,App2,2.0000002,M.User,8,15000,14
14,LINK,3,49,App3,2.0000002,M.User,8,15000,15
15,LINK,4,0,App4,2.0000002,M.User,8,15000,16
1,LINK,0,40,App0,2.0000002,M.Result2,8.000004600000002,15000,14
5,LINK,49,47,App4,2.0000002,M.Result1,8.000004600000002,15000,15
5,LINK,49,0,App4,2.0000002,M.Result2,8.000006600000003,15000,16
16,LINK,6,49,App0,2.0000002,M.User,9,15000,17
17,LINK,1,0,App1,2.0000002,M.User,9,15000,18
18,LINK,2,49,App2,2.0000002,M.User,9,15000,19
19,LINK,3,49,App3,2.0000002,M.User,9,15000,20
20,LINK,4,0,App4,2.0000002,M.User,9,15000,21
7,LINK,0,49,App1,2.0000002,M.User,9.0000002,15000,17
10,LINK,0,49,App4,2.0000002,M.User,9.0000002,15000,18
6,LINK,49,39,App0,2.0000002,M.Result1,9.000004200000001,15000,19
8,LINK,49,43,App2,2.0000002,M.Result1,9.000004200000001,15000,20
9,LINK,49,0,App3,2.0000002,M.Result1,9.000004200000001,15000,21
