id,type,src,dst,app,latency,message,ctime,size,buffer
1,LINK,3,49,App3,2.0000002,M.User,1,15000,0
2,LINK,4,0,App4,2.0000002,M.User,1,15000,1
3,LINK,18,49,App0,2.0000002,M.User,2,15000,2
2,LINK,0,49,App4,2.0000002,M.User,3.0000002,15000,1
1,LINK,49,0,App3,2.0000002,M.Result1,3.0000042,15000,2
1,LINK,49,0,App3,2.0000002,M.Result2,3.0000061999999996,15000,3
4,LINK,1,0,App1,2.0000002,M.User,4,15000,4
5,LINK,3,49,App3,2.0000002,M.User,4,15000,5
3,LINK,49,39,App0,2.0000002,M.Result1,4.000004200000001,15000,5
3,LINK,49,0,App0,2.0000002,M.Result2,4.000006200000001,15000,6
6,LINK,2,49,App2,2.0000002,M.User,5,15000,7
7,LINK,4,0,App4,2.0000002,M.User,5,15000,8
1,LINK,0,45,App3,2.0000002,M.Result1,5.0000044,15000,7
2,LINK,49,47,App4,2.0000002,M.Result1,5.000004400000001,15000,8
2,LINK,49,0,App4,2.0000002,M.Result2,5.000006400000001,15000,9
8,LINK,2,49,App2,2.0000002,M.User,6,15000,10
4,LINK,0,49,App1,2.0000002,M.User,6.000000200000001,15000,9
5,LINK,49,0,App3,2.0000002,M.Result1,6.000004200000001,15000,10
5,LINK,49,0,App3,2.0000002,M.Result2,6.000006200000001,15000,10
9,LINK,18,49,App0,2.0000002,M.User,7,15000,11
10,LINK,3,49,App3,2.0000002,M.User,7,15000,12
7,LINK,0,49,App4,2.0000002,M.User,7.000000200000001,15000,11
6,LINK,49,43,App2,2.0000002,M.Result1,7.000004200000001,15000,12
1,LINK,0,46,App3,2.0000002,M.Result2,7.0000046000000005,15000,10
6,LINK,49,0,App2,2.0000002,M.Result2,7.000006200000001,15000,11
4,LINK,49,0,App1,2.0000002,M.Result1,8.000004400000002,15000,11
4,LINK,49,0,App1,2.0000002,M.Result2,8.000006400000002,15000,12
11,LINK,1,0,App1,2.0000002,M.User,9,15000,13
12,LINK,4,0,App4,2.0000002,M.User,9,15000,14
13,LINK,3,49,App3,2.0000002,M.User,9,15000,15
9,LINK,49,39,App0,2.0000002,M.Result1,9.000004200000001,15000,13
10,LINK,49,0,App3,2.0000002,M.Result1,9.000004200000001,15000,14
8,LINK,49,43,App2,2.0000002,M.Result1,9.000004400000002,15000,14
3,LINK,0,40,App0,2.0000002,M.Result2,9.000004800000001,15000,13
9,LINK,49,0,App0,2.0000002,M.Result2,9.000006200000001,15000,14
10,LINK,49,0,App3,2.0000002,M.Result2,9.000006200000001,15000,15
8,LINK,49,0,App2,2.0000002,M.Result2,9.000006400000002,15000,16
7,LINK,49,47,App4,2.0000002,M.Result1,10.000004600000002,15000,16
7,LINK,49,0,App4,2.0000002,M.Result2,10.000006600000003,15000,17
14,LINK,2,49,App2,2.0000002,M.User,11,15000,18
15,LINK,18,49,App0,2.0000002,M.User,11,15000,19
16,LINK,3,49,App3,2.0000002,M.User,11,15000,20
11,LINK,0,49,App1,2.0000002,M.User,11.0000002,15000,19
12,LINK,0,49,App4,2.0000002,M.User,11.0000002,15000,20
13,LINK,49,0,App3,2.0000002,M.Result1,11.000004400000002,15000,19
2,LINK,0,48,App4,2.0000002,M.Result2,11.000005000000002,15000,17
13,LINK,49,0,App3,2.0000002,M.Result2,11.000006400000002,15000,18
17,LINK,1,0,App1,2.0000002,M.User,12,15000,19
18,LINK,3,49,App3,2.0000002,M.User,13,15000,19
19,LINK,1,0,App1,2.0000002,M.User,13,15000,20
14,LINK,49,43,App2,2.0000002,M.Result1,13.000004200000001,15000,17
