id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
5,COMP_M,App4,COMP1,M.User,32,28,4,5,None,0.2,4.000000200000001,4.200000200000001,2.0,4.000000200000001
5,COMP_M,App4,COMP2,M.Step2,53,29,5,5,COMP1,0.2,4.200000200000001,4.400000200000001,4.200000200000001,4.200000200000001
5,COMP_M,App4,COMP3,M.Branch,53,30,5,5,COMP1,0.2,4.200000200000001,4.400000200000001,4.200000200000001,4.200000200000001
5,COMP_M,App4,COMP4,M.Step3,55,31,5,5,COMP3,0.2,4.400000200000001,4.600000200000001,4.400000200000001,4.400000200000001
1,COMP_M,App0,COMP1,M.User,4,0,19,5,None,0.2,6.000000400000001,6.200000400000001,2.0,6.000000400000001
4,COMP_M,App3,COMP1,M.User,25,21,3,5,None,0.2,6.000000400000001,6.200000400000001,2.0,6.000000400000001
1,COMP_M,App0,COMP2,M.Step2,37,1,5,5,COMP1,0.2,6.200000400000001,6.4000004000000015,6.200000400000001,6.200000400000001
1,COMP_M,App0,COMP3,M.Branch,37,2,5,5,COMP1,0.2,6.200000400000001,6.4000004000000015,6.200000400000001,6.200000400000001
4,COMP_M,App3,COMP2,M.Step2,49,22,5,5,COMP1,0.2,6.200000400000001,6.4000004000000015,6.200000400000001,6.200000400000001
4,COMP_M,App3,COMP3,M.Branch,49,23,5,5,COMP1,0.2,6.200000400000001,6.4000004000000015,6.200000400000001,6.200000400000001
1,COMP_M,App0,COMP4,M.Step3,39,3,5,5,COMP3,0.2,6.4000004000000015,6.600000400000002,6.4000004000000015,6.4000004000000015
4,COMP_M,App3,COMP4,M.Step3,51,24,5,5,COMP3,0.2,6.4000004000000015,6.600000400000002,6.4000004000000015,6.4000004000000015
3,COMP_M,App2,COMP1,M.User,18,14,2,5,None,0.2,8.000000600000002,8.200000600000001,2.0,8.000000600000002
3,COMP_M,App2,COMP2,M.Step2,45,15,5,5,COMP1,0.2,8.200000600000001,8.4000006,8.200000600000001,8.200000600000001
3,COMP_M,App2,COMP3,M.Branch,45,16,5,5,COMP1,0.2,8.200000600000001,8.4000006,8.200000600000001,8.200000600000001
3,COMP_M,App2,COMP4,M.Step3,47,17,5,5,COMP3,0.2,8.4000006,8.6000006,8.4000006,8.4000006
10,COMP_M,App4,COMP1,M.User,32,28,4,5,None,0.2,10.000000800000002,10.200000800000002,7.0,10.000000800000002
10,COMP_M,App4,COMP2,M.Step2,53,29,5,5,COMP1,0.2,10.200000800000002,10.4000008,10.200000800000002,10.200000800000002
10,COMP_M,App4,COMP3,M.Branch,53,30,5,5,COMP1,0.2,10.200000800000002,10.4000008,10.200000800000002,10.200000800000002
10,COMP_M,App4,COMP4,M.Step3,55,31,5,5,COMP3,0.2,10.4000008,10.6000008,10.4000008,10.4000008
6,COMP_M,App0,COMP1,M.User,4,0,19,5,None,0.2,11.000000400000001,11.2000004,7.0,11.000000400000001
6,COMP_M,App0,COMP2,M.Step2,37,1,5,5,COMP1,0.2,11.2000004,11.4000004,11.2000004,11.2000004
6,COMP_M,App0,COMP3,M.Branch,37,2,5,5,COMP1,0.2,11.2000004,11.4000004,11.2000004,11.2000004
6,COMP_M,App0,COMP4,M.Step3,39,3,5,5,COMP3,0.2,11.4000004,11.600000399999999,11.4000004,11.4000004
15,COMP_M,App4,COMP1,M.User,32,28,4,5,None,0.2,12.000001000000003,12.200001000000002,8.0,12.000001000000003
15,COMP_M,App4,COMP2,M.Step2,53,29,5,5,COMP1,0.2,12.200001000000002,12.400001000000001,12.200001000000002,12.200001000000002
15,COMP_M,App4,COMP3,M.Branch,53,30,5,5,COMP1,0.2,12.200001000000002,12.400001000000001,12.200001000000002,12.200001000000002
15,COMP_M,App4,COMP4,M.Step3,55,31,5,5,COMP3,0.2,12.400001000000001,12.600001,12.400001000000001,12.400001000000001
11,COMP_M,App0,COMP1,M.User,4,0,19,5,None,0.2,13.000000600000002,13.200000600000001,8.0,13.000000600000002
11,COMP_M,App0,COMP2,M.Step2,37,1,5,5,COMP1,0.2,13.200000600000001,13.4000006,13.200000600000001,13.200000600000001
11,COMP_M,App0,COMP3,M.Branch,37,2,5,5,COMP1,0.2,13.200000600000001,13.4000006,13.200000600000001,13.200000600000001
11,COMP_M,App0,COMP4,M.Step3,39,3,5,5,COMP3,0.2,13.4000006,13.6000006,13.4000006,13.4000006
2,COMP_M,App1,COMP1,M.User,11,7,1,5,None,0.2,14.000001200000003,14.200001200000003,2.0,14.000001200000003
2,COMP_M,App1,COMP2,M.Step2,41,8,5,5,COMP1,0.2,14.200001200000003,14.400001200000002,14.200001200000003,14.200001200000003
2,COMP_M,App1,COMP3,M.Branch,41,9,5,5,COMP1,0.2,14.200001200000003,14.400001200000002,14.200001200000003,14.200001200000003
2,COMP_M,App1,COMP4,M.Step3,43,10,5,5,COMP3,0.2,14.400001200000002,14.600001200000001,14.400001200000002,14.400001200000002
16,COMP_M,App0,COMP1,M.User,4,0,19,5,None,0.2,15.000000800000002,15.200000800000002,9.0,15.000000800000002
16,COMP_M,App0,COMP2,M.Step2,37,1,5,5,COMP1,0.2,15.200000800000002,15.4000008,15.200000800000002,15.200000800000002
16,COMP_M,App0,COMP3,M.Branch,37,2,5,5,COMP1,0.2,15.200000800000002,15.4000008,15.200000800000002,15.200000800000002
16,COMP_M,App0,COMP4,M.Step3,39,3,5,5,COMP3,0.2,15.4000008,15.6000008,15.4000008,15.4000008
20,COMP_M,App4,COMP1,M.User,32,28,4,5,None,0.2,16.000001400000002,16.2000014,9.0,16.000001400000002
20,COMP_M,App4,COMP2,M.Step2,53,29,5,5,COMP1,0.2,16.2000014,16.4000014,16.2000014,16.2000014
20,COMP_M,App4,COMP3,M.Branch,53,30,5,5,COMP1,0.2,16.2000014,16.4000014,16.2000014,16.2000014
20,COMP_M,App4,COMP4,M.Step3,55,31,5,5,COMP3,0.2,16.4000014,16.6000014,16.4000014,16.4000014
5,SINK_M,App4,Sink1,M.Result1,54,33,5,47,COMP2,0.0,16.400001400000004,16.400001400000004,4.400000200000001,16.400001400000004
21,COMP_M,App0,COMP1,M.User,4,0,19,5,None,0.2,17.000001,17.200001,10.0,17.000001
21,COMP_M,App0,COMP2,M.Step2,37,1,5,5,COMP1,0.2,17.200001,17.400001,17.200001,17.200001
21,COMP_M,App0,COMP3,M.Branch,37,2,5,5,COMP1,0.2,17.200001,17.400001,17.200001,17.200001
21,COMP_M,App0,COMP4,M.Step3,39,3,5,5,COMP3,0.2,17.400001,17.600001,17.400001,17.400001
25,COMP_M,App4,COMP1,M.User,32,28,4,5,None,0.2,18.000001600000004,18.200001600000004,10.0,18.000001600000004
25,COMP_M,App4,COMP2,M.Step2,53,29,5,5,COMP1,0.2,18.200001600000004,18.400001600000003,18.200001600000004,18.200001600000004
25,COMP_M,App4,COMP3,M.Branch,53,30,5,5,COMP1,0.2,18.200001600000004,18.400001600000003,18.200001600000004,18.200001600000004
1,SINK_M,App0,Sink2,M.Result2,40,6,5,40,COMP4,0.0,18.400001600000003,18.400001600000003,6.600000400000002,18.400001600000003
1,SINK_M,App0,Sink1,M.Result1,38,5,5,39,COMP2,0.0,18.400001600000003,18.400001600000003,6.4000004000000015,18.400001600000003
25,COMP_M,App4,COMP4,M.Step3,55,31,5,5,COMP3,0.2,18.400001600000003,18.600001600000002,18.400001600000003,18.400001600000003
26,COMP_M,App0,COMP1,M.User,4,0,19,5,None,0.2,19.000001200000003,19.200001200000003,11.0,19.000001200000003
26,COMP_M,App0,COMP2,M.Step2,37,1,5,5,COMP1,0.2,19.200001200000003,19.400001200000002,19.200001200000003,19.200001200000003
26,COMP_M,App0,COMP3,M.Branch,37,2,5,5,COMP1,0.2,19.200001200000003,19.400001200000002,19.200001200000003,19.200001200000003
26,COMP_M,App0,COMP4,M.Step3,39,3,5,5,COMP3,0.2,19.400001200000002,19.6000012,19.400001200000002,19.400001200000002
9,COMP_M,App3,COMP1,M.User,25,21,3,5,None,0.2,20.0000018,20.2000018,7.0,20.0000018
9,COMP_M,App3,COMP2,M.Step2,49,22,5,5,COMP1,0.2,20.2000018,20.4000018,20.2000018,20.2000018
9,COMP_M,App3,COMP3,M.Branch,49,23,5,5,COMP1,0.2,20.2000018,20.4000018,20.2000018,20.2000018
9,COMP_M,App3,COMP4,M.Step3,51,24,5,5,COMP3,0.2,20.4000018,20.600001799999998,20.4000018,20.4000018
5,SINK_M,App4,Sink2,M.Result2,56,34,5,48,COMP4,0.0,20.400001800000002,20.400001800000002,4.600000200000001,20.400001800000002
31,COMP_M,App0,COMP1,M.User,4,0,19,5,None,0.2,21.000001400000002,21.2000014,12.0,21.000001400000002
31,COMP_M,App0,COMP2,M.Step2,37,1,5,5,COMP1,0.2,21.2000014,21.4000014,21.2000014,21.2000014
31,COMP_M,App0,COMP3,M.Branch,37,2,5,5,COMP1,0.2,21.2000014,21.4000014,21.2000014,21.2000014
31,COMP_M,App0,COMP4,M.Step3,39,3,5,5,COMP3,0.2,21.4000014,21.6000014,21.4000014,21.4000014
30,COMP_M,App4,COMP1,M.User,32,28,4,5,None,0.2,22.000002000000002,22.200002,11.0,22.000002000000002
30,COMP_M,App4,COMP2,M.Step2,53,29,5,5,COMP1,0.2,22.200002,22.400002,22.200002,22.200002
30,COMP_M,App4,COMP3,M.Branch,53,30,5,5,COMP1,0.2,22.200002,22.400002,22.200002,22.200002
10,SINK_M,App4,Sink1,M.Result1,54,33,5,47,COMP2,0.0,22.400002,22.400002,10.4000008,22.400002
30,COMP_M,App4,COMP4,M.Step3,55,31,5,5,COMP3,0.2,22.400002,22.600002,22.400002,22.400002
36,COMP_M,App0,COMP1,M.User,4,0,19,5,None,0.2,23.0000016,23.2000016,13.0,23.0000016
